symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason
SHFE.fu2605,2026-01-12 14:00:00.000000,2471.0,2026-01-12 14:05:00.000000,2500.0,2500.00,1,1160.00,1.17%,初始止损 (前前绿柱堆间 K 线低点:2500.00)
SHFE.fu2605,2026-02-04 10:00:00.000000,2804.0,2026-02-05 21:05:00.000000,2801.0,2678.00,5,-90.00,-0.11%,移动止损 (前前绿柱堆间 K 线低点:2801.00)
SHFE.fu2605,2026-02-12 22:05:00,2897.0,2026-02-13 09:05:00,2870.0,2870.00,1,-810.00,-0.93%,初始止损 (前前绿柱堆间 K 线低点:2870.00)
SHFE.fu2605,2026-02-27 22:00:00,3087.0,2026-03-04 11:05:00,3715.0,2906.00,5,18840.00,20.34%,初始止损 (前前绿柱堆间 K 线低点:2906.00)
SHFE.fu2605,2026-03-05 13:45:00,4202.0,2026-03-05 22:10:00,4044.0,3694.00,3,-3160.00,-3.76%,移动止损 (前前绿柱堆间 K 线低点:4044.00)
SHFE.hc2605,2025-11-24 14:05:00.000000,3304.0,2025-11-24 22:15:00.000000,3294.0,3268.00,3,-300.00,-0.30%,移动止损 (前前绿柱堆间 K 线低点:3294.00)
SHFE.hc2605,2025-11-26 14:15:00.000000,3299.0,2025-11-26 21:00:00.000000,3284.0,3284.00,1,-450.00,-0.45%,初始止损 (前前绿柱堆间 K 线低点:3284.00)
SHFE.hc2605,2025-12-10 14:15:00.000000,3301.0,2025-12-11 09:45:00.000000,3268.0,3244.00,4,-990.00,-1.00%,移动止损 (前前绿柱堆间 K 线低点:3268.00)
SHFE.hc2605,2025-12-19 21:10:00.000000,3273.0,2025-12-19 21:20:00.000000,3266.0,3266.00,1,-210.00,-0.21%,初始止损 (前前绿柱堆间 K 线低点:3266.00)
SHFE.hc2605,2025-12-24 11:20:00.000000,3290.0,2025-12-24 22:20:00.000000,3286.0,3266.00,3,-120.00,-0.12%,移动止损 (前前绿柱堆间 K 线低点:3286.00)
SHFE.hc2605,2026-01-06 22:05:00.000000,3283.0,2026-01-07 22:35:00.000000,3337.0,3239.00,4,1620.00,1.64%,初始止损 (前前绿柱堆间 K 线低点:3239.00)
SHFE.hc2605,2026-01-12 11:15:00.000000,3314.0,2026-01-12 14:35:00.000000,3310.0,3296.00,2,-120.00,-0.12%,初始止损 (前前绿柱堆间 K 线低点:3296.00)
SHFE.hc2605,2026-01-16 09:00:00.000000,3320.0,2026-01-16 14:30:00.000000,3313.0,3301.00,3,-210.00,-0.21%,移动止损 (前前绿柱堆间 K 线低点:3313.00)
SHFE.hc2605,2026-02-04 11:10:00.000000,3284.0,2026-02-04 21:45:00.000000,3270.0,3261.00,2,-420.00,-0.43%,初始止损 (前前绿柱堆间 K 线低点:3261.00)
SHFE.hc2605,2026-02-11 10:30:00.000000,3238.0,2026-02-11 22:10:00,3232.0,3218.00,3,-180.00,-0.19%,移动止损 (前前绿柱堆间 K 线低点:3232.00)
SHFE.hc2605,2026-03-03 21:25:00,3216.0,2026-03-04 09:50:00,3210.0,3207.00,2,-180.00,-0.19%,初始止损 (前前绿柱堆间 K 线低点:3207.00)
SHFE.hc2605,2026-03-04 21:10:00,3225.0,2026-03-05 14:00:00,3216.0,3210.00,2,-270.00,-0.28%,初始止损 (前前绿柱堆间 K 线低点:3210.00)
SHFE.hc2605,2026-03-06 14:25:00,3228.0,2026-03-10 09:05:00,3259.0,3205.00,4,930.00,0.96%,初始止损 (前前绿柱堆间 K 线低点:3205.00)
SHFE.hc2605,2026-03-10 21:20:00,3260.0,2026-03-10 21:35:00,3252.0,3252.00,1,-240.00,-0.25%,初始止损 (前前绿柱堆间 K 线低点:3252.00)
